username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018/09/27;24;26;"#FancyBear’s VPNfilter malware is back with 7 new modules Read More: https://www.hackread.com/new-modules-of-fancy-bears-vpnfilter-malware/ … #VPNfilter #Malware #Security #Botnet #Russia #IoT";;;#FancyBear #VPNfilter #Malware #Security #Botnet #Russia #IoT;"1045397442085236737";https://twitter.com/HackRead/status/1045397442085236737
;2018/09/27;50;62;"BREAKING NEWS: Sophisticated IoT #botnet, called #Torii, is targeting a wide range of devices to execute any code and run any command on infected devices. Avast researchers @JakubKroustek @iliusvla @malwarereaper @thinkcz provide a deeper analysis ? http://bit.ly/2R3sSqJ pic.twitter.com/fc0HylPnwi";;@JakubKroustek @iliusvla @malwarereaper @thinkcz;#botnet #Torii;"1045330910504267776";https://twitter.com/avast_antivirus/status/1045330910504267776
;2018/09/27;17;26;"Analysis of new IoT Botnet named Torii by @avast_antivirus Threat Intelligence Team. https://blog.avast.com/new-torii-botnet-threat-research … #Torii #Botnet #IoT @JakubKroustek @thinkcz @RussianMemento @VessOnSecurity @malwarereaper";;@avast_antivirus @JakubKroustek @thinkcz @RussianMemento @VessOnSecurity @malwarereaper;#Torii #Botnet #IoT;"1045280488955490304";https://twitter.com/iliusvla/status/1045280488955490304
;2018/09/27;36;70;"Excellent analysis by @avast_antivirus Thread Intelligence tam of the #Torii #Botnet I discovered a few days ago (spreads via Telnet over Tor): https://blog.avast.com/new-torii-botnet-threat-research …";;@avast_antivirus;#Torii #Botnet;"1045280448170070018";https://twitter.com/VessOnSecurity/status/1045280448170070018
;2018/09/26;24;228;"Hide and Seek, the #IoT #botnet discovered by our Labs, is back with new tricks. Learn why not just smart TVs, DVRs & other devices might be affected, but also Android-running devices that have the Android Debug Bridge over Wi-Fi feature enabled. https://labs.bitdefender.com/2018/09/hide-and-seek-iot-botnet-learns-new-tricks-uses-adb-over-internet-to-exploit-thousands-of-android-devices/?utm_source=SMGlobal&utm_medium=Twitter&utm_campaign=labs …";;;#IoT #botnet;"1044916615802949632";https://twitter.com/Bitdefender/status/1044916615802949632
;2018/09/25;14;17;"#Mirai #Botnet Creators Praised For Helping FBI, Won't Serve Prison Time https://buff.ly/2pmvmDZ  #CyberSecurity #infosec #AI #Malware #Fintech #Blockchain #Chatbots @reach2ratan #Bigdata #datascience #Privacy #Privacymatters #hack #hacking #databreach #cryptopic.twitter.com/Cvs51KHjkH";;@reach2ratan;#Mirai #Botnet #CyberSecurity #infosec #AI #Malware #Fintech #Blockchain #Chatbots #Bigdata #datascience #Privacy #Privacymatters #hack #hacking #databreach #cryptopic;"1044443913866686465";https://twitter.com/reach2ratan/status/1044443913866686465
;2018/09/24;24;28;"The "AK47" #IOT kaiten #botnet/ #malware (actor: @FREAK) smoked - #MalwareMustDie! https://pastebin.com/8QJey2cs pic.twitter.com/6izubluwmt";;@FREAK;#IOT #botnet #malware #MalwareMustDie;"1044221882176819206";https://twitter.com/Malwared_/status/1044221882176819206
;2018/09/21;113;104;"What's the Anatomy of a #botnet #attack? #cybercrime #cyberrisk #Hackers #IoT @Fisher85M #Malware #CyberSecurity #infosec #botspic.twitter.com/ko1AnI0f3Q";;@Fisher85M;#botnet #attack #cybercrime #cyberrisk #Hackers #IoT #Malware #CyberSecurity #infosec #botspic;"1043062789928087553";https://twitter.com/Fisher85M/status/1043062789928087553
;2018/09/20;31;29;"Hackers behind #Mirai botnet to avoid jail for working with the #FBI Read More: https://www.hackread.com/mirai-hackers-botnet-avoid-jail-fbi/ … #Security #Hacking #Malware #DDoS #IoT #Botnet";;;#Mirai #FBI #Security #Hacking #Malware #DDoS #IoT #Botnet;"1042804933412757505";https://twitter.com/HackRead/status/1042804933412757505
;2018/09/20;26;12;"FBot: Botnetz entfernt Krypto-Miner-Infektionen https://www.heise.de/security/meldung/FBot-Botnetz-entfernt-Krypto-Miner-Infektionen-4168434.html … #Botnet #Trojaner";;;#Botnet #Trojaner;"1042641027318931456";https://twitter.com/heisec/status/1042641027318931456
;2018/09/19;216;190;"New Windows and #Linux Malware — Dubbed XBash — Combines #Ransomware, Coin-Mining and #Botnet Features Into One https://thehackernews.com/2018/09/ransomware-coinmining-botnet.html … Important: Paying Ransom Will Get You Nothing! via @Swati_THNpic.twitter.com/Gf9hErLDaS";;@Swati_THNpic;#Linux #Ransomware #Botnet;"1042437226204942339";https://twitter.com/TheHackersNews/status/1042437226204942339
;2018/09/19;230;347;"3 young hackers who were arrested last year for creating and using " #Mirai Botnet" are now helping—as part of their sentencing—the #FBI fight #cybercrime to stay out of jail https://thehackernews.com/2018/09/mirai-botnet-fbi-cybercrime.html … #hacking #infosec #botnet #hackers #cyberattacks #malwarepic.twitter.com/97QLN4goEl";;;#Mirai #FBI #cybercrime #hacking #infosec #botnet #hackers #cyberattacks #malwarepic;"1042416376399450112";https://twitter.com/TheHackersNews/status/1042416376399450112
;2018/09/19;24;81;"And like Transition emails, the #cryptocurrency map of crime and collusion, masses of #botnet evidence, people blathering treason via Signal/WhatsApp while under warrant, & what happens when we have to close the SS7 protocols flaw *anyway*... https://twitter.com/Dry_Observer/status/1041889115783028736 …";;;#cryptocurrency #botnet;"1042244755105755136";https://twitter.com/Dry_Observer/status/1042244755105755136
;2018/09/15;35;103;"Multiple witnesses against them? Recorded either on Signal calls, in Cohen's archives, or elsewhere? Taking #bitcoin or #Cypriot transfers in payment? A host of records regarding their work? Obviously coordinated via Cambridge Analytica/ #botnet/etc?";;;#bitcoin #Cypriot #botnet;"1041016284186648579";https://twitter.com/Dry_Observer/status/1041016284186648579
;2018/09/13;60;73;"Russian Hacker "Peter Yuryevich Levashov" Who Operated Kelihos #Botnet Pleads Guilty to Fraud, Conspiracy, Computer Crime and Identity Theft Offenses https://thehackernews.com/2018/09/kelihos-botnet-Peter-Severa.html … pic.twitter.com/f6vTWFmZtW";;;#Botnet;"1040236159438348288";https://twitter.com/TheHackersNews/status/1040236159438348288
;2018/09/06;25;43;"Automated Decryption of #Mirai IoT #botnet configuration with #radare2 #MalwareMustDie #IoTSecurity #infosec cc : @megabeets_ @sS55752750 @radareorg @itaitevet @Ledtech3http://www.mien.in/2018/09/03/decrypting-mirai-configuration-with-radare2-part-1/ …";;@megabeets_ @sS55752750 @radareorg @itaitevet @Ledtech3http;#Mirai #botnet #radare2 #MalwareMustDie #IoTSecurity #infosec;"1037602683501375488";https://twitter.com/therealmien/status/1037602683501375488
;2018/09/03;255;517;"Collection of botnet source codes https://github.com/maestron/botnets … #botnet #malware";;;#botnet #malware;"1036508683184816128";https://twitter.com/x0rz/status/1036508683184816128
;2018/08/31;97;161;"Ursniff / Gozi BotNet targeting US, Canada and Italy shut down by hack back operation ¯\_(?)_/¯ https://marcoramilli.blogspot.com/2018/08/hacking-hacker-stopping-big-botnet.html … #infosec #botnet #blueteam #Malware #DFIRpic.twitter.com/VZm51X1dqm";;;#infosec #botnet #blueteam #Malware #DFIRpic;"1035583848468361217";https://twitter.com/Requiem_fr/status/1035583848468361217
;2018/09/29;7;9;"It’s amazing how people can identify the nationality of a #botnet these days. They don’t know about IP spoofing, they don’t know about multi-proxy. They read popular magazines and they believe they are experts in cyberattacks and #cybersecurity. #InfoSec #CyberAttack #CyberWar";;;#botnet #cybersecurity #InfoSec #CyberAttack #CyberWar;"1045859880504979456";https://twitter.com/omelnikov/status/1045859880504979456
;2018/09/28;11;11;"Meet Torii, a new #IoT #botnet far more sophisticated than Mirai variants https://www.zdnet.com/article/meet-torii-a-new-iot-botnet-far-more-sophisticated-than-mirai/?utm_source=dlvr.it&utm_medium=twitter#ftag=RSSbaffb68 … #Infosecpic.twitter.com/PrKH9yh1Om";;;#IoT #botnet #ftag #Infosecpic;"1045653388006834178";https://twitter.com/AI__TECH/status/1045653388006834178
;2018/09/27;13;16;"#HistoriasReales que cuentan como el #ServicioAntibotnet consiguió que una #redPública de Internet dejase de estar infectada por una #botnet. Conoce todos los destalles. https://www.osi.es/es/actualidad/historias-reales/2014/10/14/identifique-una-conexion-infectada-gracias-al-servicio-antibotnet …";;;#HistoriasReales #ServicioAntibotnet #redP #botnet;"1045359946521554946";https://twitter.com/osiseguridad/status/1045359946521554946
;2018/09/27;5;11;"Read about our latest malware analysis focused on the #Torii #IoT #Botnet. Thanks team and @VessOnSecurity.https://twitter.com/iliusvla/status/1045280488955490304 …";;@VessOnSecurity;#Torii #IoT #Botnet;"1045291471925055488";https://twitter.com/JakubKroustek/status/1045291471925055488
;2018/09/27;8;17;"IoT malware isnt all Mirai copycats.We recently discovered a new multi-staged botnet https://blog.avast.com/new-torii-botnet-threat-research … Thank you for great teamwork @iliusvla @JakubKroustek @thinkcz @malwarereaper Credits for intel sharing to @VessOnSecurity #torii #botnet";;@iliusvla @JakubKroustek @thinkcz @malwarereaper @VessOnSecurity;#torii #botnet;"1045283346232823809";https://twitter.com/RussianMemento/status/1045283346232823809
;2018/09/27;10;26;"#IoT #botnet that has infected more than 1M organizations found! Can the internet survive the next #DDoS attack?https://www.cpomagazine.com/2017/10/31/next-iot-botnet-ddos-attack-bring-down-entire-internet/ …";;;#IoT #botnet #DDoS;"1045142703447715840";https://twitter.com/cpomagazine/status/1045142703447715840
